id, name, latitude, longitude, address, area, city,cost, rating, homedelivery, smoking, alcohol, wifi, valetparking, rooftop  
427,China Gate,19.1185786,72.87023608,"G 1, Ground Floor, Akruti Star, MIDC, Central Road,Mahakali, Mumbai",Mahakali, Mumbai,1800,3.7,yes,no,yes,no,yes,no
428,China Gate,19.1402026,72.8311663,"Royal Plaza, New Link Road,Veera Desai Area, Mumbai",Veera Desai Area, Mumbai,1800,3.6,yes,no,yes,no,no,no
429,China Gate,19.07115062,72.86408342,"CST Road, Kalina,Santacruz East, Mumbai",Santacruz East, Mumbai,700,3,yes,no,no,no,no,no
430,China Gate,19.09477823,72.82830879,"JuhuTara Road, Juhu, Mumbai",Juhu, Mumbai,1800,3,yes,no,no,no,no,no
431,China Gate,19.10715786,72.88428281,"B 1, Times Square Tech Park, Andheri Kurla Road, Sakinaka Junction,Marol, Mumbai",Marol, Mumbai,1800,3,yes,no,no,no,no,no
432,China Gate,19.13133465,72.8228914,"Versova, Andheri WestMukkti Cultural Hub, Model Town, Near Cha Cha Nehru Park,","Versova, Andheri West", Mumbai,1800,2.8,yes,no,no,no,no,no
433,Roots Cafe,19.10961656,72.87607625,"Peninsula Redpine, Near Airport Road Metro Station, Andheri East,Marol, Mumbai",Marol, Mumbai,900,3.5,no,yes,yes,no,no,yes
434,Rodeo Drive - Peninsula Redpine,19.10967073,72.87584256,"Peninsula Redpine, Near Airport Road Metro Station, Andheri East,Marol, Mumbai",Marol, Mumbai,1500,3.9,no,yes,yes,no,yes,no
435,BAR BAR,19.08685004,72.88929887,"First Floor, Phoenix Marketcity, Lal Bahadur Shastri Marg,Kurla, Mumbai",Kurla, Mumbai,1500,3.7,no,yes,yes,no,yes,no
436,Cafe Serene,19.266408,72.784619,"Virgin Beach, Behind Valenkani Church,Mira Road, Mumbai Uttan Bhayender(W), Thane, Maharashtra.",Mira Road, Mumbai,800,3.7,no,yes,yes,no,yes,no
437,Rinpoche,19.22424961,72.85154276,"1, Ambaji Dham CHS, Near Amba Mata Mandir, Factory Lane, Shimpoli,Borivali West, Mumbai",Borivali West, Mumbai,1000,4.2,yes,no,no,no,no,no
438,Something's Fishy,19.11765518,72.86527131,"Tunga International Hotel, B11, MIDC, Central Road,Mahakali, Mumbai",Mahakali, Mumbai,1700,4.2,yes,no,yes,no,yes,no
439,Olive Bistro,19.1739383,72.8605481,"Oberoi Mall, Film City Road,Goregaon East, Mumbai",Goregaon East, Mumbai,1600,3.7,yes,yes,yes,no,no,no
440,Papa Pancho Da Dhaba,19.0614506,72.8292174,"Pali Hill, Bandra WestGasper Enclave, St John's Road, Near Rupee Bank,","Pali Hill, Bandra West", Mumbai,1000,3.8,yes,no,no,no,no,no
441,Say Cheese,18.9542148,72.8181749,"10, Paras Arcade, Supariwala Estate, Near Central Plaza,Charni Road, Mumbai",Charni Road, Mumbai,350,3.8,yes,no,no,no,no,no
442,Mondo Fine Dine,19.25815184,72.85342801,"Shop 1, Omkareshwar, New Link Road,kanderpada,Dahisar West, Mumbai",Dahisar West, Mumbai,1300,4.9,no,no,no,no,no,no
443,Mia Cucina,19.1200377,72.90713824,"G3, Transocean House, Lake Boulevard Street, Hiranandani Business Park,Powai, Mumbai",Powai, Mumbai,2000,3.9,yes,no,yes,yes,no,no
444,Hit & Run,19.107745,72.8634097,"3, Near Akal Society, Tarun Bharat Road,   Andheri East,Chakala, Mumbai",Chakala, Mumbai,700,4.1,yes,no,no,no,no,no
445,Bhagwati Veg Restaurant,19.21517015,72.82937597,"Kesar Residency, Sector 3, Charkop,Kandivali West, Mumbai",Kandivali West, Mumbai,550,3.5,yes,no,no,no,no,no
446,Cafe Monza,19.0320535,73.0668372,"Plot 5/6, Bhoomi Heights, Opposite Sector 8,Kharghar, Navi Mumbai",Kharghar, Mumbai,1000,4.3,yes,no,no,no,no,no
